"Time","Fetch"
2021-12-01 17:27:40,0 B
2021-12-01 17:28:00,0 B
2021-12-01 17:28:20,0 B
2021-12-01 17:28:40,0 B
2021-12-01 17:29:00,0 B
2021-12-01 17:29:20,0 B
2021-12-01 17:29:40,0 B
2021-12-01 17:30:00,0 B
2021-12-01 17:30:20,0 B
2021-12-01 17:30:40,0 B
2021-12-01 17:31:00,0 B
2021-12-01 17:31:20,0 B
2021-12-01 17:31:40,3.22 GB
2021-12-01 17:32:00,8.00 GB
2021-12-01 17:32:20,15.7 GB
2021-12-01 17:32:40,17.4 GB
2021-12-01 17:33:00,18.1 GB
2021-12-01 17:33:20,19.3 GB
2021-12-01 17:33:40,19.3 GB
2021-12-01 17:34:00,19.3 GB
2021-12-01 17:34:20,19.8 GB
2021-12-01 17:34:40,19.8 GB
2021-12-01 17:35:00,19.7 GB
2021-12-01 17:35:20,19.7 GB
2021-12-01 17:35:40,16.8 GB
2021-12-01 17:36:00,10.1 GB
2021-12-01 17:36:20,868 MB
2021-12-01 17:36:40,0 B
2021-12-01 17:37:00,0 B
2021-12-01 17:37:20,0 B
2021-12-01 17:37:40,0 B
2021-12-01 17:38:00,0 B
2021-12-01 17:38:20,0 B
2021-12-01 17:38:40,0 B
2021-12-01 17:39:00,0 B
2021-12-01 17:39:20,0 B
2021-12-01 17:39:40,0 B
2021-12-01 17:40:00,0 B
2021-12-01 17:40:20,0 B
2021-12-01 17:40:40,0 B
2021-12-01 17:41:00,0 B
2021-12-01 17:41:20,0 B
2021-12-01 17:41:40,0 B
2021-12-01 17:42:00,0 B
2021-12-01 17:42:20,0 B
2021-12-01 17:42:40,0 B
2021-12-01 17:43:00,0 B
2021-12-01 17:43:20,0 B
2021-12-01 17:43:40,0 B
2021-12-01 17:44:00,0 B
2021-12-01 17:44:20,0 B
2021-12-01 17:44:40,0 B
2021-12-01 17:45:00,0 B
2021-12-01 17:45:20,0 B
2021-12-01 17:45:40,0 B
2021-12-01 17:46:00,0 B
2021-12-01 17:46:20,0 B
2021-12-01 17:46:40,0 B
2021-12-01 17:47:00,0 B
2021-12-01 17:47:20,0 B
2021-12-01 17:47:40,0 B
2021-12-01 17:48:00,0 B
2021-12-01 17:48:20,0 B
2021-12-01 17:48:40,0 B
2021-12-01 17:49:00,0 B
2021-12-01 17:49:20,0 B
2021-12-01 17:49:40,0 B
2021-12-01 17:50:00,0 B
2021-12-01 17:50:20,0 B
2021-12-01 17:50:40,0 B
2021-12-01 17:51:00,0 B
2021-12-01 17:51:20,0 B
2021-12-01 17:51:40,0 B
2021-12-01 17:52:00,0 B
2021-12-01 17:52:20,0 B
2021-12-01 17:52:40,0 B
2021-12-01 17:53:00,0 B
2021-12-01 17:53:20,0 B
2021-12-01 17:53:40,0 B
2021-12-01 17:54:00,0 B
2021-12-01 17:54:20,0 B
2021-12-01 17:54:40,0 B
2021-12-01 17:55:00,0 B
2021-12-01 17:55:20,0 B
2021-12-01 17:55:40,0 B
2021-12-01 17:56:00,0 B
2021-12-01 17:56:20,0 B
2021-12-01 17:56:40,0 B
2021-12-01 17:57:00,0 B
2021-12-01 17:57:20,0 B
2021-12-01 17:57:40,0 B
2021-12-01 17:58:00,0 B
2021-12-01 17:58:20,0 B
2021-12-01 17:58:40,0 B
2021-12-01 17:59:00,0 B
2021-12-01 17:59:20,0 B
2021-12-01 17:59:40,0 B
2021-12-01 18:00:00,0 B
2021-12-01 18:00:20,0 B
2021-12-01 18:00:40,0 B
2021-12-01 18:01:00,0 B
2021-12-01 18:01:20,0 B
2021-12-01 18:01:40,0 B
2021-12-01 18:02:00,0 B
2021-12-01 18:02:20,0 B
2021-12-01 18:02:40,0 B
2021-12-01 18:03:00,0 B
