"Time","Fetch"
2021-11-30 23:05:00,0 B
2021-11-30 23:05:30,0 B
2021-11-30 23:06:00,0 B
2021-11-30 23:06:30,0 B
2021-11-30 23:07:00,0 B
2021-11-30 23:07:30,0 B
2021-11-30 23:08:00,0 B
2021-11-30 23:08:30,0 B
2021-11-30 23:09:00,0 B
2021-11-30 23:09:30,0 B
2021-11-30 23:10:00,0 B
2021-11-30 23:10:30,545 MB
2021-11-30 23:11:00,2.01 GB
2021-11-30 23:11:30,2.18 GB
2021-11-30 23:12:00,2.15 GB
2021-11-30 23:12:30,2.06 GB
2021-11-30 23:13:00,2.26 GB
2021-11-30 23:13:30,2.27 GB
2021-11-30 23:14:00,2.23 GB
2021-11-30 23:14:30,2.29 GB
2021-11-30 23:15:00,2.35 GB
2021-11-30 23:15:30,2.11 GB
2021-11-30 23:16:00,2.04 GB
2021-11-30 23:16:30,2.31 GB
2021-11-30 23:17:00,2.33 GB
2021-11-30 23:17:30,2.21 GB
2021-11-30 23:18:00,2.23 GB
2021-11-30 23:18:30,2.24 GB
2021-11-30 23:19:00,2.13 GB
2021-11-30 23:19:30,2.23 GB
2021-11-30 23:20:00,2.33 GB
2021-11-30 23:20:30,2.21 GB
2021-11-30 23:21:00,2.12 GB
2021-11-30 23:21:30,2.33 GB
2021-11-30 23:22:00,2.35 GB
2021-11-30 23:22:30,1.92 GB
2021-11-30 23:23:00,2.24 GB
2021-11-30 23:23:30,2.31 GB
2021-11-30 23:24:00,2.16 GB
2021-11-30 23:24:30,2.06 GB
2021-11-30 23:25:00,2.20 GB
2021-11-30 23:25:30,2.23 GB
2021-11-30 23:26:00,2.20 GB
2021-11-30 23:26:30,2.32 GB
2021-11-30 23:27:00,2.34 GB
2021-11-30 23:27:30,2.22 GB
2021-11-30 23:28:00,2.23 GB
2021-11-30 23:28:30,2.29 GB
2021-11-30 23:29:00,2.25 GB
2021-11-30 23:29:30,2.21 GB
2021-11-30 23:30:00,2.35 GB
2021-11-30 23:30:30,2.34 GB
2021-11-30 23:31:00,1.98 GB
2021-11-30 23:31:30,2.29 GB
2021-11-30 23:32:00,2.31 GB
2021-11-30 23:32:30,2.04 GB
2021-11-30 23:33:00,2.06 GB
2021-11-30 23:33:30,2.33 GB
2021-11-30 23:34:00,2.29 GB
2021-11-30 23:34:30,2.19 GB
2021-11-30 23:35:00,2.34 GB
2021-11-30 23:35:30,2.37 GB
2021-11-30 23:36:00,2.25 GB
2021-11-30 23:36:30,2.30 GB
2021-11-30 23:37:00,2.32 GB
2021-11-30 23:37:30,2.02 GB
2021-11-30 23:38:00,2.08 GB
2021-11-30 23:38:30,2.35 GB
2021-11-30 23:39:00,2.28 GB
2021-11-30 23:39:30,2.17 GB
2021-11-30 23:40:00,2.48 GB
2021-11-30 23:40:30,2.48 GB
2021-11-30 23:41:00,2.17 GB
2021-11-30 23:41:30,2.40 GB
2021-11-30 23:42:00,2.41 GB
2021-11-30 23:42:30,2.04 GB
2021-11-30 23:43:00,2.25 GB
2021-11-30 23:43:30,2.49 GB
